R:								
L:46.14	964.360	201.900	3.780	-1.220	-9.830	265.450	615.140	
R:447.27	-896.730	-3.170	-9.770	-0.790	15.750	346.280	623.690	
L:35.64	985.110	205.810	6.100	-1.460	-8.790	264.220	616.850	
R:459.96	-881.100	-14.160	-10.130	-2.080	18.430	347.500	629.300	
L:34.91	1005.370	252.930	5.860	0.120	-9.580	262.270	622.710	
R:462.16	-879.390	-13.920	-10.930	-2.140	20.200	350.670	633.460	
L:34.67	991.210	237.550	4.210	1.530	-10.440	259.830	627.110	
R:449.71	-885.990	18.310	-11.350	-1.830	24.480	351.890	639.800	
L:18.80	986.080	244.630	5.000	2.380	-10.930	258.120	635.160	
R:481.45	-870.850	-0.240	-11.050	0.310	30.030	357.020	645.420	
L:2.93	992.190	276.860	5.130	1.590	-12.570	256.650	638.830	
R:504.39	-864.990	-21.730	-13.120	2.810	35.770	363.860	651.530	
L:14.16	955.080	281.250	4.150	-0.610	-13.370	255.190	643.960	
R:508.54	-896.480	-16.600	-15.750	5.920	41.810	375.820	660.070	
L:15.87	962.890	222.660	4.460	-0.610	-13.790	255.190	640.050	
R:515.38	-900.390	-29.300	-17.030	9.160	46.750	391.700	668.380	
L:7.32	980.710	254.150	5.680	0.310	-13.610	253.720	638.580	
R:512.21	-894.290	-39.060	-18.490	10.680	50.720	414.160	676.190	
L:-15.62	989.990	239.260	4.700	0.490	-13.180	250.790	642.490	
R:502.93	-916.750	-24.660	-21.240	11.290	55.660	444.440	689.130	
L:-10.99	985.350	251.950	5.920	1.280	-12.820	247.860	642.740	
R:523.68	-952.880	-24.410	-21.480	10.190	63.350	486.200	703.050	
L:4.39	991.940	284.910	5.740	2.500	-12.080	246.890	650.790	
R:514.40	-977.050	3.660	-20.570	14.040	68.480	540.900	716.480	
L:-5.13	982.180	232.180	5.740	4.520	-12.150	243.710	656.900	
R:530.76	-1000.980	10.990	-22.580	18.920	74.710	605.130	727.720	
L:-10.74	991.700	262.940	6.770	4.940	-12.210	241.270	659.830	
R:560.06	-1055.180	56.150	-24.720	21.970	77.880	665.930	738.220	
L:-12.21	984.380	286.130	5.070	4.580	-12.450	240.780	658.360	
R:523.93	-1140.380	177.250	-23.070	20.940	77.390	741.150	741.640	
L:-61.28	976.070	269.290	4.210	3.720	-13.120	238.340	659.100	
R:327.88	-1188.480	145.260	-16.110	27.220	79.960	800.980	748.960	
L:-27.10	960.450	280.520	4.390	0.060	-14.040	236.630	655.920	
R:305.18	-1201.420	180.180	-13.550	18.430	82.280	817.580	764.590	
L:-2.69	961.910	306.640	6.160	-1.280	-13.490	234.190	645.910	
R:498.29	-1172.850	107.180	-9.090	8.730	80.440	824.180	777.050	
L:-25.15	996.090	283.690	6.650	-1.830	-13.430	233.940	639.070	
R:512.70	-1058.840	11.720	-12.150	24.170	76.290	826.370	794.630	
L:-72.02	1019.290	265.870	6.160	-1.950	-12.390	233.460	623.690	
R:611.82	-1105.470	155.520	-18.620	23.560	72.810	830.280	818.070	
L:-99.61	1026.370	272.460	5.430	-4.150	-10.740	234.190	611.970	
R:547.36	-1067.630	182.860	-12.700	34.420	68.180	834.190	841.510	
L:-48.34	983.640	309.570	4.580	-4.150	-7.930	235.160	588.520	
R:468.99	-938.230	131.100	-10.130	36.440	64.270	831.990	865.450	
L:-18.80	954.350	265.380	5.250	-2.260	-6.530	238.100	579.730	
R:502.20	-896.480	110.350	-10.440	27.530	59.200	828.570	886.200	
L:-12.21	953.860	276.120	6.900	1.160	-5.550	238.340	560.680	
