@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
8776,'2020/02/19 11:42:10:121',14,199,209,86,4,1,1,1,10,?,?,?,?,?
8777,'2020/02/19 11:42:10:122',14,199,204,86,4,1,1,1,10,?,?,?,?,?
8778,'2020/02/19 11:42:10:122',14,199,204,84,4,1,1,1,10,?,?,?,?,?
8779,'2020/02/19 11:42:10:122',14,199,204,84,4,1,1,1,10,?,?,?,?,?
8780,'2020/02/19 11:42:10:122',14,199,204,84,4,1,1,1,10,?,?,?,?,?
8781,'2020/02/19 11:42:10:122',14,199,204,84,4,1,1,1,10,?,?,?,?,?
8782,'2020/02/19 11:42:10:122',14,199,204,84,4,1,1,1,10,?,?,?,?,?
8783,'2020/02/19 11:42:10:176',14,195,204,84,4,1,1,1,10,?,?,?,?,?
8784,'2020/02/19 11:42:10:176',14,195,198,84,4,1,1,1,10,?,?,?,?,?
8785,'2020/02/19 11:42:10:176',14,195,198,83,4,1,1,1,10,?,?,?,?,?
8786,'2020/02/19 11:42:10:177',14,195,198,83,4,1,1,1,10,?,?,?,?,?
8787,'2020/02/19 11:42:10:177',14,195,198,83,4,1,1,1,10,?,?,?,?,?
8788,'2020/02/19 11:42:10:177',14,195,198,83,4,1,1,1,10,?,?,?,?,?
8789,'2020/02/19 11:42:10:177',14,195,198,83,4,1,1,1,10,?,?,?,?,?
8790,'2020/02/19 11:42:10:231',14,193,198,83,4,1,1,1,10,?,?,?,?,?
8791,'2020/02/19 11:42:10:232',14,193,189,83,4,1,1,1,10,?,?,?,?,?
8792,'2020/02/19 11:42:10:232',14,193,189,82,4,1,1,1,10,?,?,?,?,?
8793,'2020/02/19 11:42:10:232',14,193,189,82,4,1,1,1,10,?,?,?,?,?
8794,'2020/02/19 11:42:10:232',14,193,189,82,4,1,1,1,10,?,?,?,?,?
8795,'2020/02/19 11:42:10:232',14,193,189,82,4,1,1,1,10,?,?,?,?,?
8796,'2020/02/19 11:42:10:232',14,193,189,82,4,1,1,1,10,?,?,?,?,?
8797,'2020/02/19 11:42:10:282',14,189,189,82,4,1,1,1,10,?,?,?,?,?
8798,'2020/02/19 11:42:10:282',14,189,178,82,4,1,1,1,10,?,?,?,?,?
8799,'2020/02/19 11:42:10:283',14,189,178,80,4,1,1,1,10,?,?,?,?,?
8800,'2020/02/19 11:42:10:283',14,189,178,80,4,1,1,1,10,?,?,?,?,?
8801,'2020/02/19 11:42:10:283',14,189,178,80,4,1,1,1,10,?,?,?,?,?
8802,'2020/02/19 11:42:10:283',14,189,178,80,4,1,1,1,10,?,?,?,?,?
8803,'2020/02/19 11:42:10:284',14,189,178,80,4,1,1,1,10,?,?,?,?,?
8804,'2020/02/19 11:42:10:340',14,187,178,80,4,1,1,1,10,?,?,?,?,?
8805,'2020/02/19 11:42:10:340',14,187,164,80,4,1,1,1,10,?,?,?,?,?
8806,'2020/02/19 11:42:10:340',14,187,164,80,4,1,1,1,10,?,?,?,?,?
8807,'2020/02/19 11:42:10:340',14,187,164,80,4,1,1,1,10,?,?,?,?,?
8808,'2020/02/19 11:42:10:341',14,187,164,80,4,1,1,1,10,?,?,?,?,?
8809,'2020/02/19 11:42:10:341',14,187,164,80,4,1,1,1,10,?,?,?,?,?
8810,'2020/02/19 11:42:10:341',14,187,164,80,4,1,1,1,10,?,?,?,?,?
8811,'2020/02/19 11:42:10:386',14,187,164,80,4,1,1,1,10,?,?,?,?,?
8812,'2020/02/19 11:42:10:386',14,187,149,80,4,1,1,1,10,?,?,?,?,?
8813,'2020/02/19 11:42:10:386',14,187,149,79,4,1,1,1,10,?,?,?,?,?
8814,'2020/02/19 11:42:10:386',14,187,149,79,4,1,1,1,10,?,?,?,?,?
8815,'2020/02/19 11:42:10:386',14,187,149,79,4,1,1,1,10,?,?,?,?,?
8816,'2020/02/19 11:42:10:386',14,187,149,79,4,1,1,1,10,?,?,?,?,?
