@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
263,'2022/03/31 18:29:49:723',2,40,27,26,1,2,2,2,0,1,?,?,?,?,?
264,'2022/03/31 18:29:49:874',2,40,27,26,1,2,2,2,0,1,?,?,?,?,?
265,'2022/03/31 18:29:50:029',2,40,26,26,2,2,2,2,0,1,?,?,?,?,?
266,'2022/03/31 18:29:50:187',2,39,27,26,1,2,2,2,0,1,?,?,?,?,?
267,'2022/03/31 18:29:50:342',2,40,27,26,2,1,2,2,0,1,?,?,?,?,?
268,'2022/03/31 18:29:50:495',2,40,26,26,2,1,2,2,0,1,?,?,?,?,?
269,'2022/03/31 18:29:50:645',2,40,26,25,2,1,2,2,0,1,?,?,?,?,?
270,'2022/03/31 18:29:50:805',2,39,29,26,2,2,2,2,0,1,?,?,?,?,?
271,'2022/03/31 18:29:50:959',2,39,32,26,2,2,2,2,0,1,?,?,?,?,?
272,'2022/03/31 18:29:51:111',2,39,34,26,2,2,2,2,0,1,?,?,?,?,?
273,'2022/03/31 18:29:51:267',2,39,34,26,2,2,2,2,0,1,?,?,?,?,?
274,'2022/03/31 18:29:51:420',2,40,30,26,2,2,2,2,0,1,?,?,?,?,?
275,'2022/03/31 18:29:51:573',2,40,27,26,2,2,2,2,0,1,?,?,?,?,?
276,'2022/03/31 18:29:51:727',2,40,26,25,2,2,2,2,0,1,?,?,?,?,?
277,'2022/03/31 18:29:51:882',2,40,27,25,1,2,2,2,0,1,?,?,?,?,?
278,'2022/03/31 18:29:52:040',2,40,26,25,2,2,1,2,0,1,?,?,?,?,?
279,'2022/03/31 18:29:52:191',2,40,26,26,2,2,1,2,0,1,?,?,?,?,?
280,'2022/03/31 18:29:52:344',2,39,27,26,2,1,2,2,0,1,?,?,?,?,?
281,'2022/03/31 18:29:52:499',2,40,26,26,2,2,2,2,0,1,?,?,?,?,?
282,'2022/03/31 18:29:52:655',2,39,27,26,2,2,2,2,0,1,?,?,?,?,?
283,'2022/03/31 18:29:52:811',2,40,27,26,2,1,2,2,0,1,?,?,?,?,?
284,'2022/03/31 18:29:52:970',2,40,27,26,2,2,2,2,0,1,?,?,?,?,?
285,'2022/03/31 18:29:53:124',2,40,27,28,2,2,2,2,0,1,?,?,?,?,?
286,'2022/03/31 18:29:53:279',2,40,27,30,2,2,2,2,0,1,?,?,?,?,?
287,'2022/03/31 18:29:53:439',2,40,26,33,2,2,2,2,0,1,?,?,?,?,?
288,'2022/03/31 18:29:53:592',2,39,26,31,2,2,2,2,0,1,?,?,?,?,?
289,'2022/03/31 18:29:53:745',2,39,26,32,2,2,2,1,0,1,?,?,?,?,?
290,'2022/03/31 18:29:53:900',2,39,29,33,1,2,2,1,0,1,?,?,?,?,?
291,'2022/03/31 18:29:54:054',2,39,30,37,1,2,2,1,0,1,?,?,?,?,?
292,'2022/03/31 18:29:54:205',2,39,31,41,2,2,2,2,0,1,?,?,?,?,?
293,'2022/03/31 18:29:54:359',2,39,32,40,1,2,2,2,0,1,?,?,?,?,?
294,'2022/03/31 18:29:54:513',2,39,27,35,2,2,2,2,0,1,?,?,?,?,?
295,'2022/03/31 18:29:54:672',2,39,27,31,1,2,2,2,0,1,?,?,?,?,?
296,'2022/03/31 18:29:54:824',2,39,28,26,1,2,2,2,0,1,?,?,?,?,?
297,'2022/03/31 18:29:54:980',2,39,29,25,2,2,2,2,0,1,?,?,?,?,?
298,'2022/03/31 18:29:55:135',2,39,29,25,2,2,1,2,0,1,?,?,?,?,?
299,'2022/03/31 18:29:55:287',2,39,28,26,2,2,2,2,0,1,?,?,?,?,?
300,'2022/03/31 18:29:55:444',2,39,27,26,2,2,1,2,0,1,?,?,?,?,?
301,'2022/03/31 18:29:55:603',2,39,27,26,2,2,1,2,0,1,?,?,?,?,?
302,'2022/03/31 18:29:55:759',2,39,27,25,2,2,2,2,0,1,?,?,?,?,?
303,'2022/03/31 18:29:55:924',2,39,27,25,2,2,2,2,0,1,?,?,?,?,?
304,'2022/03/31 18:29:56:080',2,39,29,25,2,2,2,2,0,1,?,?,?,?,?
305,'2022/03/31 18:29:56:238',2,39,29,25,2,2,2,2,0,1,?,?,?,?,?
306,'2022/03/31 18:29:56:391',2,40,29,26,2,2,2,2,0,1,?,?,?,?,?
307,'2022/03/31 18:29:56:547',2,40,29,26,1,2,2,2,0,1,?,?,?,?,?
308,'2022/03/31 18:29:56:702',2,40,27,26,1,2,2,2,0,1,?,?,?,?,?
309,'2022/03/31 18:30:50:345',3,40,1105,664,2,2,2,2,1,0,?,?,?,?,?
310,'2022/03/31 18:30:50:500',3,39,1105,732,2,2,2,1,1,0,?,?,?,?,?
311,'2022/03/31 18:30:50:656',3,39,1105,855,2,2,2,1,1,0,?,?,?,?,?
312,'2022/03/31 18:30:50:811',3,40,1115,914,2,2,2,1,1,0,?,?,?,?,?
313,'2022/03/31 18:30:50:968',3,40,1125,1020,1,2,2,1,1,0,?,?,?,?,?
314,'2022/03/31 18:30:51:120',3,40,1125,1080,1,2,2,2,1,0,?,?,?,?,?
315,'2022/03/31 18:30:51:276',3,40,1125,1080,1,2,2,2,1,0,?,?,?,?,?
316,'2022/03/31 18:30:51:433',3,40,1125,1122,1,2,2,2,1,0,?,?,?,?,?
317,'2022/03/31 18:30:51:586',3,40,1125,1125,1,2,2,2,1,0,?,?,?,?,?
318,'2022/03/31 18:30:51:738',3,39,1116,1125,1,2,2,2,1,0,?,?,?,?,?
319,'2022/03/31 18:30:51:893',3,39,1116,1125,2,2,2,2,1,0,?,?,?,?,?
320,'2022/03/31 18:30:52:044',3,39,1116,1125,1,2,2,2,1,0,?,?,?,?,?
321,'2022/03/31 18:30:52:200',3,39,1120,1125,2,2,2,2,1,0,?,?,?,?,?
322,'2022/03/31 18:30:52:357',3,39,1120,1125,2,2,2,1,1,0,?,?,?,?,?
323,'2022/03/31 18:30:52:514',3,40,1115,1125,2,2,2,1,1,0,?,?,?,?,?
324,'2022/03/31 18:30:52:668',3,40,1096,1125,2,2,2,2,1,0,?,?,?,?,?
325,'2022/03/31 18:30:52:820',3,40,1105,1125,2,2,2,2,1,0,?,?,?,?,?
326,'2022/03/31 18:30:52:972',3,40,1085,1125,1,1,2,2,1,0,?,?,?,?,?
327,'2022/03/31 18:30:53:128',3,39,1077,1125,1,2,2,2,1,0,?,?,?,?,?
328,'2022/03/31 18:30:53:280',3,39,1092,1125,1,2,2,2,1,0,?,?,?,?,?
329,'2022/03/31 18:30:53:432',3,39,1111,1125,1,1,2,2,1,0,?,?,?,?,?
330,'2022/03/31 18:30:53:583',3,39,1125,1079,2,2,2,1,1,0,?,?,?,?,?
