@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
134,'2019/12/17 17:00:11:289',2,1080,30,48,870,891,2,2,1,?,?,?,?,?,?
135,'2019/12/17 17:00:11:389',2,1069,30,48,869,891,1,2,1,?,?,?,?,?,?
136,'2019/12/17 17:00:11:490',2,1027,30,48,868,892,2,2,1,?,?,?,?,?,?
137,'2019/12/17 17:00:11:590',2,1017,30,48,869,893,1,2,1,?,?,?,?,?,?
138,'2019/12/17 17:00:11:691',2,1012,30,48,872,896,1,2,1,?,?,?,?,?,?
139,'2019/12/17 17:00:11:792',2,1008,30,49,875,899,1,2,1,?,?,?,?,?,?
140,'2019/12/17 17:00:11:894',2,1033,30,48,879,901,2,2,1,?,?,?,?,?,?
141,'2019/12/17 17:00:11:995',2,1051,30,49,882,904,2,2,1,?,?,?,?,?,?
142,'2019/12/17 17:00:12:097',2,1086,30,51,885,906,2,2,1,?,?,?,?,?,?
143,'2019/12/17 17:00:12:198',2,1093,30,51,886,906,2,2,1,?,?,?,?,?,?
144,'2019/12/17 17:00:12:299',2,1105,30,51,888,907,2,2,1,?,?,?,?,?,?
145,'2019/12/17 17:00:12:401',2,1105,30,52,890,907,2,2,1,?,?,?,?,?,?
146,'2019/12/17 17:00:12:503',2,1103,30,51,891,908,2,2,1,?,?,?,?,?,?
147,'2019/12/17 17:00:12:605',2,1106,30,50,892,909,2,2,1,?,?,?,?,?,?
148,'2019/12/17 17:00:12:706',2,1075,30,50,894,911,2,2,1,?,?,?,?,?,?
149,'2019/12/17 17:00:12:806',2,1028,30,50,896,913,2,2,1,?,?,?,?,?,?
150,'2019/12/17 17:00:12:907',2,1009,30,50,898,915,2,2,1,?,?,?,?,?,?
151,'2019/12/17 17:00:13:009',2,988,30,50,900,916,2,2,1,?,?,?,?,?,?
152,'2019/12/17 17:00:13:111',2,954,30,50,901,917,2,2,1,?,?,?,?,?,?
153,'2019/12/17 17:00:13:211',2,976,30,49,903,918,2,2,1,?,?,?,?,?,?
154,'2019/12/17 17:00:13:313',2,982,30,49,904,918,2,2,1,?,?,?,?,?,?
155,'2019/12/17 17:00:13:415',2,977,30,49,904,916,2,2,1,?,?,?,?,?,?
156,'2019/12/17 17:00:13:517',2,991,30,49,905,914,2,2,1,?,?,?,?,?,?
157,'2019/12/17 17:00:13:617',2,955,30,49,906,913,2,2,1,?,?,?,?,?,?
158,'2019/12/17 17:00:13:718',2,926,30,49,907,913,2,2,1,?,?,?,?,?,?
159,'2019/12/17 17:00:13:819',2,919,37,49,908,913,2,2,1,?,?,?,?,?,?
160,'2019/12/17 17:00:13:921',2,923,50,50,909,915,2,2,1,?,?,?,?,?,?
161,'2019/12/17 17:00:14:021',2,946,66,50,911,918,2,2,1,?,?,?,?,?,?
162,'2019/12/17 17:00:14:122',2,975,67,51,913,919,2,2,1,?,?,?,?,?,?
163,'2019/12/17 17:00:14:224',2,1004,65,51,914,920,2,2,1,?,?,?,?,?,?
164,'2019/12/17 17:00:14:325',2,1001,60,51,915,920,2,2,1,?,?,?,?,?,?
165,'2019/12/17 17:00:14:426',2,1006,45,50,916,921,2,2,1,?,?,?,?,?,?
166,'2019/12/17 17:00:14:526',2,979,35,50,916,922,2,2,1,?,?,?,?,?,?
167,'2019/12/17 17:00:14:628',2,957,32,50,917,923,2,2,1,?,?,?,?,?,?
168,'2019/12/17 17:00:14:728',2,936,31,50,917,923,2,2,1,?,?,?,?,?,?
169,'2019/12/17 17:00:14:829',2,917,30,51,917,924,2,2,1,?,?,?,?,?,?
170,'2019/12/17 17:00:14:931',2,915,30,51,917,925,2,2,1,?,?,?,?,?,?
171,'2019/12/17 17:00:15:032',2,894,30,50,917,925,1,2,1,?,?,?,?,?,?
172,'2019/12/17 17:00:15:133',2,883,30,50,916,925,1,2,1,?,?,?,?,?,?
173,'2019/12/17 17:00:15:235',2,891,30,51,915,925,1,2,1,?,?,?,?,?,?
174,'2019/12/17 17:00:45:327',3,389,30,48,900,931,2,2,0.49,?,?,?,?,?,?
175,'2019/12/17 17:00:45:429',3,383,30,48,898,931,2,2,0.49,?,?,?,?,?,?
176,'2019/12/17 17:00:45:531',3,377,30,48,896,931,2,2,0.49,?,?,?,?,?,?
177,'2019/12/17 17:00:45:632',3,388,30,49,895,931,2,2,0.49,?,?,?,?,?,?
178,'2019/12/17 17:00:45:734',3,393,30,49,893,931,2,2,0.49,?,?,?,?,?,?
179,'2019/12/17 17:00:45:834',3,390,30,49,891,931,1,2,0.49,?,?,?,?,?,?
180,'2019/12/17 17:00:45:935',3,392,30,49,890,931,2,2,0.49,?,?,?,?,?,?
181,'2019/12/17 17:00:46:036',3,404,30,49,889,930,1,2,0.49,?,?,?,?,?,?
182,'2019/12/17 17:00:46:138',3,420,30,50,886,930,2,2,0.49,?,?,?,?,?,?
183,'2019/12/17 17:00:46:240',3,429,30,50,883,930,1,2,0.49,?,?,?,?,?,?
184,'2019/12/17 17:00:46:342',3,425,30,49,880,930,1,2,0.49,?,?,?,?,?,?
185,'2019/12/17 17:00:46:443',3,428,30,49,879,930,2,2,0.49,?,?,?,?,?,?
186,'2019/12/17 17:00:46:544',3,409,30,49,877,930,2,2,0.49,?,?,?,?,?,?
187,'2019/12/17 17:00:46:644',3,416,30,48,876,930,2,2,0.49,?,?,?,?,?,?
188,'2019/12/17 17:00:46:746',3,407,30,48,877,930,2,2,0.49,?,?,?,?,?,?
189,'2019/12/17 17:00:46:847',3,406,30,48,877,929,2,2,0.49,?,?,?,?,?,?
190,'2019/12/17 17:00:46:948',3,402,30,48,877,930,2,2,0.49,?,?,?,?,?,?
191,'2019/12/17 17:00:47:050',3,415,30,50,877,930,2,2,0.49,?,?,?,?,?,?
192,'2019/12/17 17:00:47:152',3,398,30,50,877,929,2,2,0.49,?,?,?,?,?,?
193,'2019/12/17 17:00:47:252',3,395,30,50,877,929,2,2,0.49,?,?,?,?,?,?
194,'2019/12/17 17:00:47:354',3,379,30,51,878,929,2,2,0.49,?,?,?,?,?,?
195,'2019/12/17 17:00:47:455',3,364,30,50,879,929,2,2,0.49,?,?,?,?,?,?
196,'2019/12/17 17:00:47:556',3,348,30,49,881,929,1,2,0.49,?,?,?,?,?,?
197,'2019/12/17 17:00:47:657',3,350,30,49,883,930,1,2,0.49,?,?,?,?,?,?
198,'2019/12/17 17:00:47:758',3,362,30,49,886,930,2,2,0.49,?,?,?,?,?,?
199,'2019/12/17 17:00:47:859',3,371,30,49,887,930,1,2,0.49,?,?,?,?,?,?
200,'2019/12/17 17:00:47:960',3,376,30,50,890,930,2,2,0.49,?,?,?,?,?,?
201,'2019/12/17 17:00:48:062',3,362,30,50,891,930,2,2,0.49,?,?,?,?,?,?
202,'2019/12/17 17:00:48:164',3,343,30,50,892,931,2,2,0.49,?,?,?,?,?,?
203,'2019/12/17 17:00:48:264',3,334,30,50,892,931,2,2,0.49,?,?,?,?,?,?
204,'2019/12/17 17:00:48:365',3,318,30,49,893,931,2,2,0.49,?,?,?,?,?,?
205,'2019/12/17 17:00:48:467',3,317,30,48,893,931,2,2,0.49,?,?,?,?,?,?
206,'2019/12/17 17:00:48:568',3,312,30,48,893,931,2,1,0.49,?,?,?,?,?,?
207,'2019/12/17 17:00:48:669',3,316,30,48,891,931,2,1,0.49,?,?,?,?,?,?
208,'2019/12/17 17:00:48:769',3,309,30,49,889,931,2,2,0.49,?,?,?,?,?,?
209,'2019/12/17 17:00:48:871',3,323,30,50,886,932,2,2,0.49,?,?,?,?,?,?
210,'2019/12/17 17:00:48:973',3,313,30,50,886,932,2,2,0.49,?,?,?,?,?,?
211,'2019/12/17 17:03:00:818',4,100,30,52,932,940,1,2,?,0,?,?,?,?,?
212,'2019/12/17 17:03:00:919',4,113,30,52,932,940,1,2,?,0,?,?,?,?,?
213,'2019/12/17 17:03:01:020',4,117,30,51,932,940,1,2,?,0,?,?,?,?,?
214,'2019/12/17 17:03:01:122',4,117,30,53,931,940,1,2,?,0,?,?,?,?,?
215,'2019/12/17 17:03:01:224',4,113,30,53,931,940,1,2,?,0,?,?,?,?,?
216,'2019/12/17 17:03:01:326',4,109,30,53,931,940,1,2,?,0,?,?,?,?,?
217,'2019/12/17 17:03:01:426',4,98,30,53,931,940,1,2,?,0,?,?,?,?,?
218,'2019/12/17 17:03:01:528',4,93,30,51,931,940,1,2,?,0,?,?,?,?,?
219,'2019/12/17 17:03:01:629',4,90,30,50,932,940,1,2,?,0,?,?,?,?,?
220,'2019/12/17 17:03:01:731',4,88,30,50,932,940,1,2,?,0,?,?,?,?,?
221,'2019/12/17 17:03:01:833',4,85,30,51,932,940,1,2,?,0,?,?,?,?,?
222,'2019/12/17 17:03:01:935',4,87,30,51,933,940,2,2,?,0,?,?,?,?,?
223,'2019/12/17 17:03:02:036',4,90,30,50,933,940,2,2,?,0,?,?,?,?,?
224,'2019/12/17 17:03:02:137',4,90,30,50,933,940,2,2,?,0,?,?,?,?,?
225,'2019/12/17 17:03:02:239',4,90,30,50,933,941,1,2,?,0,?,?,?,?,?
226,'2019/12/17 17:03:02:341',4,88,30,49,933,941,1,2,?,0,?,?,?,?,?
227,'2019/12/17 17:03:02:442',4,86,30,50,933,941,1,1,?,0,?,?,?,?,?
228,'2019/12/17 17:03:02:544',4,88,30,50,933,941,1,2,?,0,?,?,?,?,?
229,'2019/12/17 17:03:02:646',4,101,30,50,933,941,1,1,?,0,?,?,?,?,?
230,'2019/12/17 17:03:02:747',4,136,30,49,933,941,1,2,?,0,?,?,?,?,?
231,'2019/12/17 17:03:02:849',4,160,30,49,933,940,1,1,?,0,?,?,?,?,?
232,'2019/12/17 17:03:02:951',4,180,30,49,933,940,1,2,?,0,?,?,?,?,?
233,'2019/12/17 17:03:03:052',4,190,30,49,933,940,2,2,?,0,?,?,?,?,?
234,'2019/12/17 17:03:03:154',4,188,30,51,933,940,1,2,?,0,?,?,?,?,?
235,'2019/12/17 17:03:03:256',4,176,30,51,933,940,2,2,?,0,?,?,?,?,?
236,'2019/12/17 17:03:03:358',4,158,30,51,933,940,1,2,?,0,?,?,?,?,?
237,'2019/12/17 17:03:03:459',4,140,30,51,933,941,1,2,?,0,?,?,?,?,?
238,'2019/12/17 17:03:03:561',4,118,30,50,933,941,1,2,?,0,?,?,?,?,?
239,'2019/12/17 17:03:03:663',4,106,30,50,933,941,1,2,?,0,?,?,?,?,?
240,'2019/12/17 17:03:03:764',4,96,30,49,933,941,1,1,?,0,?,?,?,?,?
241,'2019/12/17 17:03:03:864',4,90,30,51,933,941,1,1,?,0,?,?,?,?,?
242,'2019/12/17 17:03:03:966',4,86,30,51,933,941,1,1,?,0,?,?,?,?,?
243,'2019/12/17 17:03:04:068',4,86,30,50,933,941,1,1,?,0,?,?,?,?,?
244,'2019/12/17 17:03:04:170',4,86,30,51,932,940,2,1,?,0,?,?,?,?,?
245,'2019/12/17 17:03:04:271',4,90,30,51,932,940,2,2,?,0,?,?,?,?,?
246,'2019/12/17 17:03:04:373',4,105,30,49,932,940,1,2,?,0,?,?,?,?,?
247,'2019/12/17 17:03:04:474',4,113,30,49,931,940,2,2,?,0,?,?,?,?,?
248,'2019/12/17 17:03:04:576',4,125,30,50,931,940,1,2,?,0,?,?,?,?,?
249,'2019/12/17 17:03:04:678',4,143,30,50,931,940,1,2,?,0,?,?,?,?,?
250,'2019/12/17 17:03:04:778',4,145,30,49,931,940,1,2,?,0,?,?,?,?,?
251,'2019/12/17 17:03:04:879',4,156,30,50,930,940,1,2,?,0,?,?,?,?,?
252,'2019/12/17 17:03:04:981',4,151,30,50,930,940,1,2,?,0,?,?,?,?,?
253,'2019/12/17 17:03:05:083',4,159,29,49,930,940,1,2,?,0,?,?,?,?,?
254,'2019/12/17 17:03:05:184',4,153,29,49,930,940,1,2,?,0,?,?,?,?,?
255,'2019/12/17 17:03:05:286',4,157,30,51,930,940,1,2,?,0,?,?,?,?,?
256,'2019/12/17 17:03:05:387',4,155,30,52,930,940,2,2,?,0,?,?,?,?,?
257,'2019/12/17 17:03:05:488',4,159,30,51,930,940,1,2,?,0,?,?,?,?,?
258,'2019/12/17 17:03:05:589',4,156,30,51,929,940,1,2,?,0,?,?,?,?,?
259,'2019/12/17 17:03:05:690',4,163,30,51,930,940,1,2,?,0,?,?,?,?,?
260,'2019/12/17 17:03:05:791',4,161,30,50,929,940,2,2,?,0,?,?,?,?,?
261,'2019/12/17 17:03:05:892',4,159,30,50,930,939,2,2,?,0,?,?,?,?,?
262,'2019/12/17 17:03:05:994',4,153,30,50,930,939,2,2,?,0,?,?,?,?,?
263,'2019/12/17 17:03:06:095',4,145,30,49,930,939,2,2,?,0,?,?,?,?,?
264,'2019/12/17 17:03:06:197',4,133,30,49,930,939,2,2,?,0,?,?,?,?,?
265,'2019/12/17 17:03:06:299',4,121,30,48,930,940,2,2,?,0,?,?,?,?,?
266,'2019/12/17 17:03:06:401',4,109,30,48,930,940,1,2,?,0,?,?,?,?,?
267,'2019/12/17 17:03:06:503',4,99,30,48,930,940,1,2,?,0,?,?,?,?,?
268,'2019/12/17 17:03:06:604',4,90,30,48,931,940,1,2,?,0,?,?,?,?,?
269,'2019/12/17 17:03:06:706',4,85,30,49,931,940,1,2,?,0,?,?,?,?,?
270,'2019/12/17 17:03:06:808',4,84,30,49,931,940,1,2,?,0,?,?,?,?,?
271,'2019/12/17 17:03:06:910',4,83,30,48,931,940,1,2,?,0,?,?,?,?,?
272,'2019/12/17 17:03:07:012',4,85,30,48,931,940,2,2,?,0,?,?,?,?,?
273,'2019/12/17 17:03:07:112',4,86,30,48,931,940,1,2,?,0,?,?,?,?,?
