@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
6974,'2022/12/16 13:49:42:594',33,140,105,136,0,0,0,4.536287,?,?,?,?,?,?,?
6975,'2022/12/16 13:49:42:600',33,137,105,137,0,0,0,4.19099,?,?,?,?,?,?,?
6976,'2022/12/16 13:49:42:607',33,137,105,137,0,0,0,4.19099,?,?,?,?,?,?,?
6977,'2022/12/16 13:49:42:617',33,137,105,137,0,0,0,4.19099,?,?,?,?,?,?,?
6978,'2022/12/16 13:49:42:620',33,136,105,137,1,0,0,4.118204,?,?,?,?,?,?,?
6979,'2022/12/16 13:49:42:626',33,136,105,137,0,0,0,4.137282,?,?,?,?,?,?,?
6980,'2022/12/16 13:49:42:633',33,136,105,137,0,0,0,4.137282,?,?,?,?,?,?,?
6981,'2022/12/16 13:49:42:640',33,136,105,137,0,0,0,4.137282,?,?,?,?,?,?,?
6982,'2022/12/16 13:49:42:644',33,136,105,137,0,0,0,4.137282,?,?,?,?,?,?,?
6983,'2022/12/16 13:49:42:652',33,134,105,138,0,0,0,4.361238,?,?,?,?,?,?,?
6984,'2022/12/16 13:49:42:659',33,134,105,138,0,0,0,4.361238,?,?,?,?,?,?,?
6985,'2022/12/16 13:49:42:666',33,134,105,138,0,0,0,4.361238,?,?,?,?,?,?,?
6986,'2022/12/16 13:49:42:670',33,134,105,138,0,0,0,4.361238,?,?,?,?,?,?,?
6987,'2022/12/16 13:49:42:677',33,133,105,141,0,0,0,4.589673,?,?,?,?,?,?,?
6988,'2022/12/16 13:49:42:686',33,133,105,141,0,0,0,4.589673,?,?,?,?,?,?,?
6989,'2022/12/16 13:49:42:689',33,133,105,141,0,0,0,4.589673,?,?,?,?,?,?,?
6990,'2022/12/16 13:49:42:697',33,133,105,141,0,0,0,4.589673,?,?,?,?,?,?,?
6991,'2022/12/16 13:49:42:704',33,132,106,142,0,0,0,4.712483,?,?,?,?,?,?,?
6992,'2022/12/16 13:49:42:710',33,132,106,142,0,0,0,4.712483,?,?,?,?,?,?,?
6993,'2022/12/16 13:49:42:717',33,132,106,142,0,0,0,4.712483,?,?,?,?,?,?,?
6994,'2022/12/16 13:49:42:723',33,132,107,144,0,0,0,4.676441,?,?,?,?,?,?,?
6995,'2022/12/16 13:49:42:734',33,132,107,144,0,0,0,4.658927,?,?,?,?,?,?,?
6996,'2022/12/16 13:49:42:743',33,132,107,144,0,0,0,4.658927,?,?,?,?,?,?,?
6997,'2022/12/16 13:49:42:750',33,130,107,145,0,0,0,4.698127,?,?,?,?,?,?,?
6998,'2022/12/16 13:49:42:755',33,130,107,145,0,0,0,4.698127,?,?,?,?,?,?,?
