@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric
@attribute processing-8 numeric
@attribute processing-9 numeric
@attribute processing-10 numeric

@data
72,'2021/10/25 16:53:21:298',1,714,136,344,437,1045,2,2,?,?,?,0,?,?,?,?,?,?
73,'2021/10/25 16:53:21:455',1,493,123,286,174,1059,2,2,?,?,?,0,?,?,?,?,?,?
74,'2021/10/25 16:53:21:610',1,355,108,181,13,1061,2,2,?,?,?,0,?,?,?,?,?,?
75,'2021/10/25 16:53:21:763',1,330,104,164,159,1061,1,2,?,?,?,0,?,?,?,?,?,?
76,'2021/10/25 16:53:21:919',1,335,99,169,398,1062,2,2,?,?,?,0,?,?,?,?,?,?
77,'2021/10/25 16:53:22:077',1,439,85,180,636,1062,2,2,?,?,?,0,?,?,?,?,?,?
78,'2021/10/25 16:53:22:233',1,393,93,180,874,1063,2,2,?,?,?,0,?,?,?,?,?,?
79,'2021/10/25 16:53:22:389',1,340,87,179,868,1064,2,2,?,?,?,0,?,?,?,?,?,?
80,'2021/10/25 16:53:22:543',1,331,79,156,854,1066,2,2,?,?,?,0,?,?,?,?,?,?
81,'2021/10/25 16:53:22:699',1,180,74,149,846,1066,2,2,?,?,?,0,?,?,?,?,?,?
82,'2021/10/25 16:53:22:852',1,141,65,134,834,1065,2,2,?,?,?,0,?,?,?,?,?,?
83,'2021/10/25 16:53:48:493',2,85,38,51,871,1052,798,2,?,?,?,0.98,?,?,?,?,?,?
84,'2021/10/25 16:53:48:648',2,71,39,49,875,1052,769,1,?,?,?,0.98,?,?,?,?,?,?
85,'2021/10/25 16:53:48:804',2,70,40,51,876,1051,781,2,?,?,?,0.98,?,?,?,?,?,?
86,'2021/10/25 16:53:48:959',2,74,41,53,875,1051,812,2,?,?,?,0.98,?,?,?,?,?,?
87,'2021/10/25 16:53:49:116',2,76,38,55,875,1052,834,2,?,?,?,0.98,?,?,?,?,?,?
88,'2021/10/25 16:53:49:271',2,75,38,52,876,1053,849,2,?,?,?,0.98,?,?,?,?,?,?
89,'2021/10/25 16:53:49:426',2,66,36,49,880,1053,824,2,?,?,?,0.98,?,?,?,?,?,?
