@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
790,'2022/04/20 17:57:50:251',5,117,33,8,2,2,2,2,0.5,1,?,?,?,?,?
791,'2022/04/20 17:57:50:408',5,117,31,8,2,2,2,2,0.5,1,?,?,?,?,?
792,'2022/04/20 17:57:50:564',5,110,38,9,2,2,1,2,0.5,1,?,?,?,?,?
793,'2022/04/20 17:57:50:719',5,106,63,8,2,2,2,2,0.5,1,?,?,?,?,?
794,'2022/04/20 17:57:50:874',5,97,75,9,2,2,2,2,0.5,1,?,?,?,?,?
795,'2022/04/20 17:57:51:031',5,98,79,9,2,2,2,2,0.5,1,?,?,?,?,?
796,'2022/04/20 17:57:51:187',5,101,64,9,2,2,2,2,0.5,1,?,?,?,?,?
797,'2022/04/20 17:57:51:343',5,103,41,9,2,2,2,2,0.5,1,?,?,?,?,?
798,'2022/04/20 17:57:51:499',5,103,28,9,2,2,2,2,0.5,1,?,?,?,?,?
799,'2022/04/20 17:57:51:655',5,100,25,9,1,2,2,2,0.5,1,?,?,?,?,?
800,'2022/04/20 17:57:51:811',5,100,26,9,2,2,2,2,0.5,1,?,?,?,?,?
801,'2022/04/20 17:57:51:967',5,99,22,9,2,2,2,2,0.5,1,?,?,?,?,?
802,'2022/04/20 17:57:52:122',5,100,22,9,2,2,2,2,0.5,1,?,?,?,?,?
803,'2022/04/20 17:57:52:278',5,102,24,9,2,2,2,2,0.5,1,?,?,?,?,?
804,'2022/04/20 17:57:52:435',5,106,27,9,1,2,2,1,0.5,1,?,?,?,?,?
805,'2022/04/20 17:57:52:591',5,109,29,9,1,2,2,2,0.5,1,?,?,?,?,?
806,'2022/04/20 17:57:52:750',5,107,25,9,1,2,2,2,0.5,1,?,?,?,?,?
807,'2022/04/20 17:57:52:906',5,102,21,9,1,2,2,2,0.5,1,?,?,?,?,?
808,'2022/04/20 17:57:53:064',5,97,18,8,2,2,2,2,0.5,1,?,?,?,?,?
809,'2022/04/20 17:57:53:219',5,94,17,8,2,1,2,2,0.5,1,?,?,?,?,?
810,'2022/04/20 17:57:53:374',5,94,17,8,2,1,2,2,0.5,1,?,?,?,?,?
811,'2022/04/20 17:57:53:532',5,95,17,9,2,1,2,2,0.5,1,?,?,?,?,?
812,'2022/04/20 17:57:53:688',5,99,17,9,1,1,2,2,0.5,1,?,?,?,?,?
813,'2022/04/20 17:57:53:844',5,100,18,9,1,2,2,2,0.5,1,?,?,?,?,?
814,'2022/04/20 17:57:54:001',5,100,21,9,1,2,2,2,0.5,1,?,?,?,?,?
815,'2022/04/20 17:57:54:158',5,99,27,8,2,2,2,2,0.5,1,?,?,?,?,?
816,'2022/04/20 17:57:54:313',5,97,28,9,1,2,2,2,0.5,1,?,?,?,?,?
817,'2022/04/20 17:57:54:468',5,96,30,9,2,2,2,2,0.5,1,?,?,?,?,?
818,'2022/04/20 17:57:54:624',5,97,27,9,2,2,2,1,0.5,1,?,?,?,?,?
819,'2022/04/20 17:57:54:780',5,96,25,9,1,2,1,2,0.5,1,?,?,?,?,?
820,'2022/04/20 17:57:54:934',5,96,32,8,1,2,2,2,0.5,1,?,?,?,?,?
821,'2022/04/20 17:57:55:091',5,97,34,9,1,2,2,2,0.5,1,?,?,?,?,?
822,'2022/04/20 17:57:55:248',5,97,35,9,1,2,2,2,0.5,1,?,?,?,?,?
823,'2022/04/20 17:57:55:403',5,95,30,9,1,2,2,2,0.5,1,?,?,?,?,?
824,'2022/04/20 17:57:55:559',5,96,22,9,1,2,2,2,0.5,1,?,?,?,?,?
825,'2022/04/20 17:57:55:717',5,96,19,9,1,2,2,2,0.5,1,?,?,?,?,?
826,'2022/04/20 17:57:55:872',5,97,19,9,1,2,2,2,0.5,1,?,?,?,?,?
827,'2022/04/20 17:57:56:028',5,99,20,9,1,2,2,2,0.5,1,?,?,?,?,?
828,'2022/04/20 17:57:56:183',5,99,20,9,2,2,2,2,0.5,1,?,?,?,?,?
829,'2022/04/20 17:57:56:339',5,100,19,9,1,2,2,2,0.5,1,?,?,?,?,?
830,'2022/04/20 17:57:56:496',5,96,19,8,2,2,2,2,0.5,1,?,?,?,?,?
831,'2022/04/20 17:57:56:653',5,95,22,8,2,2,2,1,0.5,1,?,?,?,?,?
832,'2022/04/20 17:57:56:809',5,100,22,9,2,2,2,2,0.5,1,?,?,?,?,?
833,'2022/04/20 17:57:56:967',5,105,21,9,2,2,2,2,0.5,1,?,?,?,?,?
834,'2022/04/20 17:57:57:125',5,104,18,8,2,2,2,2,0.5,1,?,?,?,?,?
835,'2022/04/20 17:57:57:279',5,104,17,8,2,2,2,2,0.5,1,?,?,?,?,?
836,'2022/04/20 17:57:57:435',5,97,17,8,2,2,2,2,0.5,1,?,?,?,?,?
837,'2022/04/20 17:57:57:591',5,99,19,8,1,1,2,2,0.5,1,?,?,?,?,?
838,'2022/04/20 17:57:57:748',5,101,20,8,2,2,2,2,0.5,1,?,?,?,?,?
