@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
160,'2020/02/21 11:02:44:594',3,698,1125,235,2,3,1,1,?,?,?,?,?,0,?,?,?,?
161,'2020/02/21 11:02:44:721',3,653,1125,191,2,2,1,1,?,?,?,?,?,0,?,?,?,?
162,'2020/02/21 11:02:44:846',3,615,1125,168,2,2,1,1,?,?,?,?,?,0,?,?,?,?
163,'2020/02/21 11:02:44:972',3,598,1125,148,2,2,1,1,?,?,?,?,?,0,?,?,?,?
164,'2020/02/21 11:02:45:098',3,799,1125,93,2,2,1,1,?,?,?,?,?,0,?,?,?,?
165,'2020/02/21 11:02:45:225',3,889,1125,81,2,2,1,1,?,?,?,?,?,0,?,?,?,?
166,'2020/02/21 11:02:45:352',3,989,1125,79,2,3,1,1,?,?,?,?,?,0,?,?,?,?
167,'2020/02/21 11:02:45:479',3,1072,1125,80,2,2,1,1,?,?,?,?,?,0,?,?,?,?
168,'2020/02/21 11:02:45:604',3,1125,1125,81,2,2,2,1,?,?,?,?,?,0,?,?,?,?
169,'2020/02/21 11:02:45:730',3,1123,1125,84,2,3,2,1,?,?,?,?,?,0,?,?,?,?
170,'2020/02/21 11:02:45:856',3,1124,1125,83,2,2,2,1,?,?,?,?,?,0,?,?,?,?
171,'2020/02/21 11:02:45:983',3,1116,1125,85,2,2,2,2,?,?,?,?,?,0,?,?,?,?
172,'2020/02/21 11:02:46:109',3,946,1125,110,2,2,1,2,?,?,?,?,?,0,?,?,?,?
173,'2020/02/21 11:02:46:235',3,808,1097,113,2,2,1,2,?,?,?,?,?,0,?,?,?,?
174,'2020/02/21 11:02:46:362',3,697,900,115,2,2,1,2,?,?,?,?,?,0,?,?,?,?
175,'2020/02/21 11:02:46:488',3,631,741,109,2,2,1,1,?,?,?,?,?,0,?,?,?,?
176,'2020/02/21 11:02:46:614',3,609,661,92,2,2,2,1,?,?,?,?,?,0,?,?,?,?
177,'2020/02/21 11:02:46:740',3,638,557,78,2,2,2,2,?,?,?,?,?,0,?,?,?,?
178,'2020/02/21 11:02:46:866',3,558,629,78,2,2,2,2,?,?,?,?,?,0,?,?,?,?
179,'2020/02/21 11:02:46:993',3,446,745,81,2,3,2,2,?,?,?,?,?,0,?,?,?,?
180,'2020/02/21 11:02:47:119',3,397,711,87,2,3,2,2,?,?,?,?,?,0,?,?,?,?
181,'2020/02/21 11:02:47:246',3,369,654,96,2,2,2,2,?,?,?,?,?,0,?,?,?,?
182,'2020/02/21 11:02:47:373',3,545,520,104,2,2,1,2,?,?,?,?,?,0,?,?,?,?
183,'2020/02/21 11:02:47:499',3,724,412,114,2,3,1,2,?,?,?,?,?,0,?,?,?,?
184,'2020/02/21 11:02:47:625',3,850,478,118,2,3,2,2,?,?,?,?,?,0,?,?,?,?
185,'2020/02/21 11:03:00:886',4,354,154,214,2,853,2,1,?,?,?,?,?,1,?,?,?,?
186,'2020/02/21 11:03:01:013',4,216,137,212,2,850,2,1,?,?,?,?,?,1,?,?,?,?
187,'2020/02/21 11:03:01:139',4,111,130,206,2,847,1,1,?,?,?,?,?,1,?,?,?,?
188,'2020/02/21 11:03:01:265',4,92,130,204,2,848,2,1,?,?,?,?,?,1,?,?,?,?
189,'2020/02/21 11:03:01:392',4,87,123,189,3,850,2,1,?,?,?,?,?,1,?,?,?,?
190,'2020/02/21 11:03:01:519',4,98,101,204,2,856,2,1,?,?,?,?,?,1,?,?,?,?
191,'2020/02/21 11:03:01:644',4,116,92,202,3,859,1,2,?,?,?,?,?,1,?,?,?,?
192,'2020/02/21 11:03:01:771',4,143,90,195,2,862,2,1,?,?,?,?,?,1,?,?,?,?
193,'2020/02/21 11:03:01:897',4,140,89,197,2,863,1,2,?,?,?,?,?,1,?,?,?,?
194,'2020/02/21 11:03:02:022',4,132,88,201,2,863,2,2,?,?,?,?,?,1,?,?,?,?
195,'2020/02/21 11:03:02:149',4,108,95,182,2,863,1,2,?,?,?,?,?,1,?,?,?,?
196,'2020/02/21 11:03:02:276',4,86,98,184,2,863,2,2,?,?,?,?,?,1,?,?,?,?
197,'2020/02/21 11:03:02:402',4,67,101,185,3,860,1,1,?,?,?,?,?,1,?,?,?,?
198,'2020/02/21 11:03:02:529',4,68,106,190,2,856,1,2,?,?,?,?,?,1,?,?,?,?
199,'2020/02/21 11:03:02:655',4,71,108,188,3,851,2,2,?,?,?,?,?,1,?,?,?,?
200,'2020/02/21 11:03:02:783',4,75,100,193,3,843,2,1,?,?,?,?,?,1,?,?,?,?
201,'2020/02/21 11:03:02:909',4,80,98,187,2,839,1,1,?,?,?,?,?,1,?,?,?,?
202,'2020/02/21 11:03:03:035',4,73,90,172,2,830,2,1,?,?,?,?,?,1,?,?,?,?
203,'2020/02/21 11:03:03:161',4,70,83,174,2,826,2,1,?,?,?,?,?,1,?,?,?,?
204,'2020/02/21 11:03:03:288',4,65,81,173,2,823,2,1,?,?,?,?,?,1,?,?,?,?
205,'2020/02/21 11:03:03:414',4,65,79,169,2,818,2,2,?,?,?,?,?,1,?,?,?,?
206,'2020/02/21 11:03:03:540',4,67,89,172,2,817,1,2,?,?,?,?,?,1,?,?,?,?
207,'2020/02/21 11:03:03:666',4,79,102,170,2,817,2,2,?,?,?,?,?,1,?,?,?,?
208,'2020/02/21 11:03:03:791',4,80,104,175,2,817,1,1,?,?,?,?,?,1,?,?,?,?
209,'2020/02/21 11:03:03:918',4,82,111,177,2,816,1,2,?,?,?,?,?,1,?,?,?,?
210,'2020/02/21 11:03:04:045',4,90,109,175,3,815,1,2,?,?,?,?,?,1,?,?,?,?
211,'2020/02/21 11:03:04:172',4,105,98,175,3,814,1,2,?,?,?,?,?,1,?,?,?,?
212,'2020/02/21 11:03:04:298',4,110,97,176,2,813,1,2,?,?,?,?,?,1,?,?,?,?
213,'2020/02/21 11:03:04:425',4,124,99,175,2,811,1,1,?,?,?,?,?,1,?,?,?,?
214,'2020/02/21 11:03:04:551',4,131,106,179,3,810,2,2,?,?,?,?,?,1,?,?,?,?
215,'2020/02/21 11:03:04:677',4,138,103,194,2,812,1,1,?,?,?,?,?,1,?,?,?,?
216,'2020/02/21 11:03:04:804',4,145,105,196,3,816,1,1,?,?,?,?,?,1,?,?,?,?
217,'2020/02/21 11:03:04:930',4,149,103,190,2,821,1,1,?,?,?,?,?,1,?,?,?,?
218,'2020/02/21 11:03:05:057',4,322,90,175,2,828,1,1,?,?,?,?,?,1,?,?,?,?
219,'2020/02/21 11:03:05:183',4,504,90,166,3,836,1,2,?,?,?,?,?,1,?,?,?,?
220,'2020/02/21 11:03:05:309',4,658,120,181,3,840,1,2,?,?,?,?,?,1,?,?,?,?
221,'2020/02/21 11:03:05:435',4,671,127,183,3,844,1,2,?,?,?,?,?,1,?,?,?,?
222,'2020/02/21 11:03:05:562',4,672,135,197,2,847,1,2,?,?,?,?,?,1,?,?,?,?
223,'2020/02/21 11:03:05:689',4,552,145,202,2,851,1,2,?,?,?,?,?,1,?,?,?,?
224,'2020/02/21 11:03:05:815',4,453,131,186,2,852,1,2,?,?,?,?,?,1,?,?,?,?
225,'2020/02/21 11:03:05:941',4,444,119,191,2,851,1,2,?,?,?,?,?,1,?,?,?,?
226,'2020/02/21 11:03:06:068',4,462,157,193,2,846,1,2,?,?,?,?,?,1,?,?,?,?
227,'2020/02/21 11:03:06:195',4,417,156,198,2,843,1,2,?,?,?,?,?,1,?,?,?,?
228,'2020/02/21 11:03:06:322',4,304,155,191,3,840,1,2,?,?,?,?,?,1,?,?,?,?
229,'2020/02/21 11:03:06:449',4,229,179,182,2,839,1,2,?,?,?,?,?,1,?,?,?,?
230,'2020/02/21 11:12:26:248',5,52,48,26,3,4,2,1,?,?,?,?,0,?,?,?,?,?
231,'2020/02/21 11:12:26:374',5,52,46,25,3,4,1,1,?,?,?,?,0,?,?,?,?,?
232,'2020/02/21 11:12:26:501',5,69,45,26,3,4,1,2,?,?,?,?,0,?,?,?,?,?
233,'2020/02/21 11:12:26:627',5,75,46,28,2,4,1,2,?,?,?,?,0,?,?,?,?,?
234,'2020/02/21 11:12:26:753',5,79,46,31,2,4,1,2,?,?,?,?,0,?,?,?,?,?
235,'2020/02/21 11:12:26:880',5,79,46,32,3,4,1,2,?,?,?,?,0,?,?,?,?,?
236,'2020/02/21 11:12:27:006',5,65,45,36,2,4,1,1,?,?,?,?,0,?,?,?,?,?
237,'2020/02/21 11:12:27:133',5,61,45,36,2,4,1,2,?,?,?,?,0,?,?,?,?,?
238,'2020/02/21 11:12:27:259',5,50,44,32,3,3,1,2,?,?,?,?,0,?,?,?,?,?
239,'2020/02/21 11:12:27:386',5,49,44,30,2,4,2,1,?,?,?,?,0,?,?,?,?,?
240,'2020/02/21 11:12:27:513',5,49,44,31,2,4,2,1,?,?,?,?,0,?,?,?,?,?
241,'2020/02/21 11:12:27:639',5,51,44,31,2,4,1,1,?,?,?,?,0,?,?,?,?,?
