@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
493,'2020/12/18 20:32:14:615',15,117,78,34,2,2,2,2,?,?,?,?,?,0,0
494,'2020/12/18 20:32:14:817',15,142,91,34,2,2,2,1,?,?,?,?,?,0,0
495,'2020/12/18 20:32:15:019',15,197,93,34,2,2,2,2,?,?,?,?,?,0,0
496,'2020/12/18 20:32:15:220',15,167,83,33,2,2,2,1,?,?,?,?,?,0,0
497,'2020/12/18 20:32:15:422',15,93,84,33,2,2,2,2,?,?,?,?,?,0,0
498,'2020/12/18 20:32:15:623',15,160,71,34,2,2,2,2,?,?,?,?,?,0,0
499,'2020/12/18 20:32:15:823',15,197,66,34,2,2,2,2,?,?,?,?,?,0,0
500,'2020/12/18 20:32:16:024',15,170,60,34,2,1,2,2,?,?,?,?,?,0,0
501,'2020/12/18 20:32:16:225',15,91,54,33,2,1,2,2,?,?,?,?,?,0,0
502,'2020/12/18 20:32:16:427',15,109,65,52,2,1,2,2,?,?,?,?,?,0,0
503,'2020/12/18 20:32:16:628',15,157,166,286,2,1,2,2,?,?,?,?,?,0,0
504,'2020/12/18 20:32:16:830',15,235,176,377,2,2,2,1,?,?,?,?,?,0,0
505,'2020/12/18 20:32:17:031',15,235,170,364,2,2,2,2,?,?,?,?,?,0,0
506,'2020/12/18 20:32:17:233',15,247,73,182,2,2,2,2,?,?,?,?,?,0,0
507,'2020/12/18 20:32:17:435',15,222,59,181,2,2,2,2,?,?,?,?,?,0,0
508,'2020/12/18 20:32:17:636',15,144,85,141,2,2,2,2,?,?,?,?,?,0,0
509,'2020/12/18 20:32:17:837',15,170,121,99,2,2,2,2,?,?,?,?,?,0,0
510,'2020/12/18 20:32:18:039',15,222,164,44,2,2,2,2,?,?,?,?,?,0,0
511,'2020/12/18 20:32:29:702',16,191,94,63,675,2,2,2,?,?,?,?,?,127,0
512,'2020/12/18 20:32:29:903',16,180,116,58,676,2,2,2,?,?,?,?,?,127,0
513,'2020/12/18 20:32:30:104',16,193,141,56,681,2,2,2,?,?,?,?,?,127,0
514,'2020/12/18 20:32:30:305',16,188,114,61,683,2,2,2,?,?,?,?,?,127,0
515,'2020/12/18 20:32:30:506',16,103,96,60,682,2,2,2,?,?,?,?,?,127,0
516,'2020/12/18 20:32:30:707',16,112,82,62,681,2,2,2,?,?,?,?,?,127,0
517,'2020/12/18 20:32:30:908',16,174,67,60,681,1,2,2,?,?,?,?,?,127,0
518,'2020/12/18 20:32:31:109',16,165,57,61,685,1,2,2,?,?,?,?,?,127,0
519,'2020/12/18 20:32:31:310',16,145,88,59,684,2,2,2,?,?,?,?,?,127,0
520,'2020/12/18 20:32:31:512',16,179,135,61,683,2,2,2,?,?,?,?,?,127,0
521,'2020/12/18 20:32:31:713',16,184,157,59,685,2,2,2,?,?,?,?,?,127,0
522,'2020/12/18 20:32:31:914',16,190,136,58,687,2,2,2,?,?,?,?,?,127,0
523,'2020/12/18 20:32:32:115',16,194,102,58,686,2,2,2,?,?,?,?,?,127,0
524,'2020/12/18 20:32:32:316',16,230,80,62,682,2,2,2,?,?,?,?,?,127,0
525,'2020/12/18 20:32:32:517',16,195,81,65,678,2,2,1,?,?,?,?,?,127,0
526,'2020/12/18 20:32:32:717',16,112,79,63,681,2,2,2,?,?,?,?,?,127,0
527,'2020/12/18 20:32:32:918',16,155,92,58,689,2,2,2,?,?,?,?,?,127,0
528,'2020/12/18 20:32:33:118',16,191,90,59,697,2,2,2,?,?,?,?,?,127,0
