@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
197,'2019/12/18 13:00:55:959',1,474,30,50,5,879,1,23,0,?,?,?,?,?
198,'2019/12/18 13:00:55:959',1,474,30,50,5,879,1,23,0,?,?,?,?,?
199,'2019/12/18 13:00:55:959',1,474,30,50,5,879,1,23,0,?,?,?,?,?
200,'2019/12/18 13:00:55:959',1,474,30,50,5,879,1,23,0,?,?,?,?,?
201,'2019/12/18 13:00:55:959',1,474,30,50,5,879,1,23,0,?,?,?,?,?
202,'2019/12/18 13:00:55:959',1,474,30,50,5,879,1,23,0,?,?,?,?,?
203,'2019/12/18 13:00:55:959',1,474,30,50,5,879,1,23,0,?,?,?,?,?
204,'2019/12/18 13:00:56:010',1,457,30,50,5,879,1,23,0,?,?,?,?,?
205,'2019/12/18 13:00:56:010',1,457,30,50,5,879,1,23,0,?,?,?,?,?
206,'2019/12/18 13:00:56:010',1,457,30,50,5,879,1,23,0,?,?,?,?,?
207,'2019/12/18 13:00:56:010',1,457,30,50,5,879,1,23,0,?,?,?,?,?
208,'2019/12/18 13:00:56:011',1,457,30,50,5,880,1,23,0,?,?,?,?,?
209,'2019/12/18 13:00:56:011',1,457,30,50,5,880,1,23,0,?,?,?,?,?
210,'2019/12/18 13:00:56:011',1,457,30,50,5,880,1,23,0,?,?,?,?,?
211,'2019/12/18 13:00:56:040',1,444,30,50,5,880,1,23,0,?,?,?,?,?
212,'2019/12/18 13:00:56:040',1,444,30,50,5,880,1,23,0,?,?,?,?,?
213,'2019/12/18 13:00:56:040',1,444,30,50,5,880,1,23,0,?,?,?,?,?
214,'2019/12/18 13:00:56:040',1,444,30,50,5,880,1,23,0,?,?,?,?,?
215,'2019/12/18 13:00:56:040',1,444,30,50,5,880,1,23,0,?,?,?,?,?
216,'2019/12/18 13:00:56:040',1,444,30,50,5,880,1,23,0,?,?,?,?,?
217,'2019/12/18 13:00:56:040',1,444,30,50,5,880,1,23,0,?,?,?,?,?
218,'2019/12/18 13:00:56:088',1,431,30,50,5,880,1,23,0,?,?,?,?,?
219,'2019/12/18 13:00:56:088',1,431,30,50,5,880,1,23,0,?,?,?,?,?
220,'2019/12/18 13:00:56:088',1,431,30,50,5,880,1,23,0,?,?,?,?,?
221,'2019/12/18 13:00:56:088',1,431,30,50,5,880,1,23,0,?,?,?,?,?
222,'2019/12/18 13:00:56:088',1,431,30,50,5,880,1,23,0,?,?,?,?,?
223,'2019/12/18 13:00:56:088',1,431,30,50,5,880,2,23,0,?,?,?,?,?
224,'2019/12/18 13:00:56:089',1,431,30,50,5,880,2,23,0,?,?,?,?,?
225,'2019/12/18 13:00:56:138',1,396,30,50,5,880,2,23,0,?,?,?,?,?
226,'2019/12/18 13:00:56:138',1,396,30,50,5,880,2,23,0,?,?,?,?,?
227,'2019/12/18 13:00:56:138',1,396,30,49,5,880,2,23,0,?,?,?,?,?
228,'2019/12/18 13:00:56:139',1,396,30,49,5,880,2,23,0,?,?,?,?,?
229,'2019/12/18 13:00:56:139',1,396,30,49,5,881,2,23,0,?,?,?,?,?
230,'2019/12/18 13:00:56:139',1,396,30,49,5,881,1,23,0,?,?,?,?,?
231,'2019/12/18 13:00:56:139',1,396,30,49,5,881,1,23,0,?,?,?,?,?
232,'2019/12/18 13:00:56:184',1,389,30,49,5,881,1,23,0,?,?,?,?,?
233,'2019/12/18 13:00:56:184',1,389,30,49,5,881,1,23,0,?,?,?,?,?
234,'2019/12/18 13:00:56:184',1,389,30,49,5,881,1,23,0,?,?,?,?,?
235,'2019/12/18 13:00:56:184',1,389,30,49,5,881,1,23,0,?,?,?,?,?
236,'2019/12/18 13:00:56:185',1,389,30,49,5,881,1,23,0,?,?,?,?,?
237,'2019/12/18 13:00:56:185',1,389,30,49,5,881,1,23,0,?,?,?,?,?
238,'2019/12/18 13:00:56:185',1,389,30,49,5,881,1,23,0,?,?,?,?,?
239,'2019/12/18 13:00:56:231',1,376,30,49,5,881,1,23,0,?,?,?,?,?
240,'2019/12/18 13:00:56:231',1,376,30,49,5,881,1,23,0,?,?,?,?,?
241,'2019/12/18 13:00:56:231',1,376,30,48,5,881,1,23,0,?,?,?,?,?
242,'2019/12/18 13:00:56:231',1,376,30,48,5,881,1,23,0,?,?,?,?,?
243,'2019/12/18 13:00:56:232',1,376,30,48,5,881,1,23,0,?,?,?,?,?
244,'2019/12/18 13:00:56:232',1,376,30,48,5,881,1,23,0,?,?,?,?,?
245,'2019/12/18 13:00:56:232',1,376,30,48,5,881,1,23,0,?,?,?,?,?
246,'2019/12/18 13:00:56:280',1,353,30,48,5,881,1,23,0,?,?,?,?,?
247,'2019/12/18 13:00:56:280',1,353,30,48,5,881,1,23,0,?,?,?,?,?
248,'2019/12/18 13:00:56:280',1,353,30,49,5,881,1,23,0,?,?,?,?,?
249,'2019/12/18 13:00:56:280',1,353,30,49,5,881,1,23,0,?,?,?,?,?
250,'2019/12/18 13:00:56:280',1,353,30,49,5,882,1,23,0,?,?,?,?,?
251,'2019/12/18 13:00:56:280',1,353,30,49,5,882,1,23,0,?,?,?,?,?
252,'2019/12/18 13:00:56:280',1,353,30,49,5,882,1,23,0,?,?,?,?,?
253,'2019/12/18 13:00:56:327',1,334,30,49,5,882,1,23,0,?,?,?,?,?
254,'2019/12/18 13:00:56:327',1,334,30,49,5,882,1,23,0,?,?,?,?,?
255,'2019/12/18 13:00:56:328',1,334,30,49,5,882,1,23,0,?,?,?,?,?
256,'2019/12/18 13:00:56:328',1,334,30,49,5,882,1,23,0,?,?,?,?,?
257,'2019/12/18 13:00:56:328',1,334,30,49,5,882,1,23,0,?,?,?,?,?
258,'2019/12/18 13:00:56:328',1,334,30,49,5,882,1,23,0,?,?,?,?,?
259,'2019/12/18 13:00:56:328',1,334,30,49,5,882,1,23,0,?,?,?,?,?
260,'2019/12/18 13:00:56:374',1,340,30,49,5,882,1,23,0,?,?,?,?,?
261,'2019/12/18 13:00:56:375',1,340,30,49,5,882,1,23,0,?,?,?,?,?
262,'2019/12/18 13:00:56:375',1,340,30,48,5,882,1,23,0,?,?,?,?,?
263,'2019/12/18 13:00:56:375',1,340,30,48,6,882,1,23,0,?,?,?,?,?
264,'2019/12/18 13:00:56:375',1,340,30,48,6,883,1,23,0,?,?,?,?,?
265,'2019/12/18 13:00:56:375',1,340,30,48,6,883,1,23,0,?,?,?,?,?
266,'2019/12/18 13:00:56:375',1,340,30,48,6,883,1,23,0,?,?,?,?,?
267,'2019/12/18 13:00:56:422',1,347,30,48,6,883,1,23,0,?,?,?,?,?
268,'2019/12/18 13:00:56:422',1,347,30,48,6,883,1,23,0,?,?,?,?,?
269,'2019/12/18 13:00:56:422',1,347,30,48,6,883,1,23,0,?,?,?,?,?
270,'2019/12/18 13:00:56:422',1,347,30,48,6,883,1,23,0,?,?,?,?,?
271,'2019/12/18 13:00:56:422',1,347,30,48,6,883,1,23,0,?,?,?,?,?
272,'2019/12/18 13:00:56:423',1,347,30,48,6,883,1,23,0,?,?,?,?,?
273,'2019/12/18 13:00:56:423',1,347,30,48,6,883,1,23,0,?,?,?,?,?
274,'2019/12/18 13:01:15:824',2,564,30,48,420,91,1,21,100,?,?,?,?,?
275,'2019/12/18 13:01:15:825',2,564,30,48,420,91,1,21,100,?,?,?,?,?
276,'2019/12/18 13:01:15:825',2,564,30,49,420,91,1,21,100,?,?,?,?,?
277,'2019/12/18 13:01:15:825',2,564,30,49,431,91,1,21,100,?,?,?,?,?
278,'2019/12/18 13:01:15:825',2,564,30,49,431,91,1,21,100,?,?,?,?,?
279,'2019/12/18 13:01:15:825',2,564,30,49,431,91,2,21,100,?,?,?,?,?
280,'2019/12/18 13:01:15:826',2,564,30,49,431,91,2,22,100,?,?,?,?,?
281,'2019/12/18 13:01:15:857',2,560,30,49,431,91,2,22,100,?,?,?,?,?
282,'2019/12/18 13:01:15:857',2,560,30,49,431,91,2,22,100,?,?,?,?,?
283,'2019/12/18 13:01:15:857',2,560,30,49,431,91,2,22,100,?,?,?,?,?
284,'2019/12/18 13:01:15:857',2,560,30,49,441,91,2,22,100,?,?,?,?,?
285,'2019/12/18 13:01:15:857',2,560,30,49,441,91,2,22,100,?,?,?,?,?
286,'2019/12/18 13:01:15:857',2,560,30,49,441,91,1,22,100,?,?,?,?,?
287,'2019/12/18 13:01:15:857',2,560,30,49,441,91,1,22,100,?,?,?,?,?
288,'2019/12/18 13:01:15:907',2,534,30,49,441,91,1,22,100,?,?,?,?,?
